Airline,Departure_Airport,Arrival_Airport,Scheduled_Dep_Hour,Scheduled_Arr_Hour,Day_of_Week,Month,Holiday_Season,Weather_Condition,Temperature,Wind_Speed,Visibility,Rain_mm,Departure_Traffic,Arrival_Traffic,Delay
Vistara,HYD,HYD,15,18,5,9,0,Storm,24,9,1,6,Low,Medium,48.54
GoAir,GOI,GOI,15,9,4,3,1,Rain,37,1,9,11,Low,Medium,52.79
SpiceJet,BLR,BLR,3,11,4,5,0,Fog,21,23,4,12,Medium,Medium,52.39
GoAir,BOM,DEL,12,21,1,2,1,Clear,30,10,9,4,Medium,High,32.68
GoAir,DEL,BLR,12,3,0,10,1,Thunderstorm,37,23,2,5,Medium,High,108.63
IndiGo,CCU,DEL,1,17,5,5,0,Storm,36,2,7,1,Medium,High,81.65
SpiceJet,MAA,GOI,2,15,2,8,1,Fog,35,22,2,6,Medium,Low,69.96
SpiceJet,MAA,DEL,21,7,5,11,0,Clear,18,22,4,13,High,Low,32.16
SpiceJet,DEL,MAA,7,3,4,2,0,Thunderstorm,23,1,6,13,High,High,82.31
GoAir,CCU,CCU,23,22,1,8,1,Clear,22,8,2,9,High,Low,55.05
Vistara,DEL,BLR,14,11,6,4,1,Fog,37,18,2,3,High,High,89.53
SpiceJet,BOM,HYD,10,1,0,10,1,Rain,35,1,2,2,Medium,Low,30.09
GoAir,BLR,BLR,8,3,6,10,1,Thunderstorm,15,27,3,13,High,Low,98.94
IndiGo,GOI,MAA,6,4,2,1,1,Clear,28,18,5,5,High,High,28.94
Vistara,MAA,DEL,12,2,5,5,0,Rain,13,1,9,14,Low,Medium,21.86
IndiGo,BOM,MAA,1,8,2,1,1,Storm,29,14,6,7,Medium,Medium,50.3
Vistara,BLR,BOM,7,20,4,7,0,Fog,26,23,9,4,High,Low,49.48
GoAir,BOM,BOM,6,17,2,8,0,Fog,28,20,5,2,High,Low,70.79
Air India,CCU,HYD,23,10,6,3,1,Thunderstorm,12,2,6,2,High,Low,84.71
Vistara,MAA,MAA,11,2,1,3,1,Clear,38,4,8,12,Medium,Low,36.31
IndiGo,GOI,GOI,18,22,2,7,1,Storm,23,10,3,1,High,Low,65.22
GoAir,DEL,HYD,6,1,3,4,1,Thunderstorm,26,26,2,0,Low,Low,63.82
Vistara,DEL,GOI,9,8,1,3,1,Thunderstorm,22,23,3,11,Medium,High,92.27
Air India,BLR,HYD,15,13,5,8,0,Clear,18,6,9,7,Low,Medium,18.87
Air India,GOI,BOM,2,3,0,3,0,Storm,36,5,6,18,Medium,Medium,32.47
SpiceJet,HYD,HYD,9,8,0,7,0,Clear,10,13,4,8,High,High,32.17
SpiceJet,CCU,BOM,5,12,4,2,1,Fog,34,28,3,13,Medium,High,79.59
IndiGo,BLR,DEL,17,17,4,11,1,Rain,26,0,2,17,Medium,Medium,28.44
